Cohort,Chrom,Inv,Allele_N,Obs_Freq_Var,Scaling,Sampled_Variance
Cntrl 1,2L,Adult,400,0.0001722934978912822,0.003981071705534904,4.098634902463607e-05
Cntrl 1,2L,Adult,400,0.0001722934978912822,0.005011872336272633,3.2605864300021334e-05
Cntrl 1,2L,Adult,400,0.0001722934978912822,0.006309573444801814,2.5919584050332905e-05
Cntrl 1,2L,Adult,400,0.0001722934978912822,0.00794328234724266,2.061057948061519e-05
Cntrl 1,2L,Adult,400,0.0001722934978912822,0.009999999999999796,1.6345806535835436e-05
Cntrl 1,2L,Adult,400,0.0001722934978912822,0.012589254117941404,1.296121229085637e-05
Cntrl 1,2L,Adult,400,0.0001722934978912822,0.015848931924610784,1.0299833913003762e-05
Cntrl 1,2L,Adult,400,0.0001722934978912822,0.019952623149688337,8.188398712991593e-06
Cntrl 1,2L,Adult,400,0.0001722934978912822,0.025118864315095205,6.496983749156728e-06
Cntrl 1,2L,Adult,400,0.0001722934978912822,0.031622776601683014,5.167133480480021e-06
Cntrl 1,2L,Adult,400,0.0001722934978912822,0.039810717055348714,4.096859529542558e-06
Cntrl 1,2L,Adult,400,0.0001722934978912822,0.050118723362725916,3.256516430885993e-06
Cntrl 1,2L,Adult,400,0.0001722934978912822,0.06309573444801762,2.590150055286217e-06
Cntrl 1,2L,Adult,400,0.0001722934978912822,0.07943282347242595,2.0546810516425655e-06
Cntrl 1,2L,Adult,400,0.0001722934978912822,0.09999999999999713,1.6320483760773474e-06
Cntrl 1,2L,Adult,400,0.0001722934978912822,0.125892541179413,1.2945253566157605e-06
Cntrl 1,2L,Adult,400,0.0001722934978912822,0.15848931924610654,1.0285221460659274e-06
Cntrl 1,2L,Adult,400,0.0001722934978912822,0.19952623149688176,8.183100971769071e-07
Cntrl 1,2L,Adult,400,0.0001722934978912822,0.25118864315095,6.516987302716169e-07
Cntrl 1,2L,Adult,400,0.0001722934978912822,0.31622776601682756,5.152961145880827e-07
Cntrl 1,2L,Adult,400,0.0001722934978912822,0.3981071705534839,4.1046228953467645e-07
Cntrl 1,2L,Adult,400,0.0001722934978912822,0.501187233627255,3.2573623112190174e-07
Cntrl 1,2L,Adult,400,0.0001722934978912822,0.630957344480171,2.57986613478554e-07
Cntrl 1,2L,Adult,400,0.0001722934978912822,0.794328234724253,2.0566301735586256e-07
Cntrl 3,2L,Adult,400,1.4907764838260233e-06,3.1622776601683795e-05,0.0480614338030134
Cntrl 3,2L,Adult,400,1.4907764838260233e-06,3.9810717055349695e-05,0.034756238373475926
Cntrl 3,2L,Adult,400,1.4907764838260233e-06,5.011872336272715e-05,0.027435312079913943
Cntrl 3,2L,Adult,400,1.4907764838260233e-06,6.309573444801917e-05,0.021482776586817073
Cntrl 3,2L,Adult,400,1.4907764838260233e-06,7.94328234724279e-05,0.017026483470197994
Cntrl 3,2L,Adult,400,1.4907764838260233e-06,9.999999999999958e-05,0.013296535333577995
Cntrl 3,2L,Adult,400,1.4907764838260233e-06,0.0001258925411794161,0.010532479223988346
Cntrl 3,2L,Adult,400,1.4907764838260233e-06,0.00015848931924611044,0.008273115020044785
Cntrl 3,2L,Adult,400,1.4907764838260233e-06,0.00019952623149688666,0.006466942904535892
Cntrl 3,2L,Adult,400,1.4907764838260233e-06,0.00025118864315095617,0.005139726734525113
Cntrl 3,2L,Adult,400,1.4907764838260233e-06,0.00031622776601683534,0.004034296878002885
Cntrl 3,2L,Adult,400,1.4907764838260233e-06,0.00039810717055349367,0.0032069990072822767
Cntrl 3,2L,Adult,400,1.4907764838260233e-06,0.0005011872336272673,0.0025534873352302226
Cntrl 3,2L,Adult,400,1.4907764838260233e-06,0.0006309573444801866,0.0020265309291101607
Cntrl 3,2L,Adult,400,1.4907764838260233e-06,0.0007943282347242724,0.0016035862690376881
Cntrl 3,2L,Adult,400,1.4907764838260233e-06,0.0009999999999999877,0.0012764829708572243
Cntrl 3,2L,Adult,400,1.4907764838260233e-06,0.0012589254117941508,0.0010110226545260704
Cntrl 3,2L,Adult,400,1.4907764838260233e-06,0.0015848931924610915,0.0008010498580167489
Cntrl 3,2L,Adult,400,1.4907764838260233e-06,0.0019952623149688503,0.0006383309732106243
Cntrl 3,2L,Adult,400,1.4907764838260233e-06,0.0025118864315095413,0.0005063354893023746
Cntrl 3,2L,Adult,400,1.4907764838260233e-06,0.003162277660168328,0.0004016426672943653
Cntrl 3,2L,Adult,400,1.4907764838260233e-06,0.003981071705534904,0.000318166960976283
Cntrl 3,2L,Adult,400,1.4907764838260233e-06,0.005011872336272633,0.0002534050753208551
Cntrl 3,2L,Adult,400,1.4907764838260233e-06,0.006309573444801814,0.00020131210171263532
Cntrl 3,2L,Adult,400,1.4907764838260233e-06,0.00794328234724266,0.00015980738318010604
Cntrl 3,2L,Adult,400,1.4907764838260233e-06,0.009999999999999796,0.00012665686297340693
Cntrl 3,2L,Adult,400,1.4907764838260233e-06,0.012589254117941404,0.00010067431802386357
Cntrl 3,2L,Adult,400,1.4907764838260233e-06,0.015848931924610784,8.01040664730526e-05
Cntrl 3,2L,Adult,400,1.4907764838260233e-06,0.019952623149688337,6.36202652808609e-05
Cntrl 3,2L,Adult,400,1.4907764838260233e-06,0.025118864315095205,5.03875024232179e-05
Cntrl 3,2L,Adult,400,1.4907764838260233e-06,0.031622776601683014,4.005496096333083e-05
Cntrl 3,2L,Adult,400,1.4907764838260233e-06,0.039810717055348714,3.186376873056389e-05
Cntrl 3,2L,Adult,400,1.4907764838260233e-06,0.050118723362725916,2.5269170944784385e-05
Cntrl 3,2L,Adult,400,1.4907764838260233e-06,0.06309573444801762,2.0107839819501375e-05
Cntrl 3,2L,Adult,400,1.4907764838260233e-06,0.07943282347242595,1.5969175088384372e-05
Cntrl 3,2L,Adult,400,1.4907764838260233e-06,0.09999999999999713,1.2690633407540557e-05
Cntrl 3,2L,Adult,400,1.4907764838260233e-06,0.125892541179413,1.0090234600430857e-05
Cntrl 3,2L,Adult,400,1.4907764838260233e-06,0.15848931924610654,8.023632157236525e-06
Cntrl 3,2L,Adult,400,1.4907764838260233e-06,0.19952623149688176,6.3594957431605205e-06
Cntrl 3,2L,Adult,400,1.4907764838260233e-06,0.25118864315095,5.043510675941355e-06
Cntrl 3,2L,Adult,400,1.4907764838260233e-06,0.31622776601682756,4.016504341362546e-06
Cntrl 3,2L,Adult,400,1.4907764838260233e-06,0.3981071705534839,3.1838624403104277e-06
Cntrl 3,2L,Adult,400,1.4907764838260233e-06,0.501187233627255,2.5271258601290274e-06
Cntrl 3,2L,Adult,400,1.4907764838260233e-06,0.630957344480171,2.0109933772365106e-06
Cntrl 3,2L,Adult,400,1.4907764838260233e-06,0.794328234724253,1.597681382157051e-06
Cntrl 100e,2L,Embryo,200,2.2575025047385778e-06,3.1622776601683795e-05,0.06766003572530864
Cntrl 100e,2L,Embryo,200,2.2575025047385778e-06,3.9810717055349695e-05,0.05153058859284454
Cntrl 100e,2L,Embryo,200,2.2575025047385778e-06,5.011872336272715e-05,0.038686187915109464
Cntrl 100e,2L,Embryo,200,2.2575025047385778e-06,6.309573444801917e-05,0.02947251431656634
Cntrl 100e,2L,Embryo,200,2.2575025047385778e-06,7.94328234724279e-05,0.02363541198528565
Cntrl 100e,2L,Embryo,200,2.2575025047385778e-06,9.999999999999958e-05,0.018173720582005497
Cntrl 100e,2L,Embryo,200,2.2575025047385778e-06,0.0001258925411794161,0.014313530962722048
Cntrl 100e,2L,Embryo,200,2.2575025047385778e-06,0.00015848931924611044,0.011576382783350573
Cntrl 100e,2L,Embryo,200,2.2575025047385778e-06,0.00019952623149688666,0.009025734558455331
Cntrl 100e,2L,Embryo,200,2.2575025047385778e-06,0.00025118864315095617,0.007149801160614039
Cntrl 100e,2L,Embryo,200,2.2575025047385778e-06,0.00031622776601683534,0.0056379718915617605
Cntrl 100e,2L,Embryo,200,2.2575025047385778e-06,0.00039810717055349367,0.004449860283420788
Cntrl 100e,2L,Embryo,200,2.2575025047385778e-06,0.0005011872336272673,0.0035418472096869387
Cntrl 100e,2L,Embryo,200,2.2575025047385778e-06,0.0006309573444801866,0.002812087115998222
Cntrl 100e,2L,Embryo,200,2.2575025047385778e-06,0.0007943282347242724,0.0022272362444200693
Cntrl 100e,2L,Embryo,200,2.2575025047385778e-06,0.0009999999999999877,0.0017693472133116055
Cntrl 100e,2L,Embryo,200,2.2575025047385778e-06,0.0012589254117941508,0.0014048201144679813
Cntrl 100e,2L,Embryo,200,2.2575025047385778e-06,0.0015848931924610915,0.0011120488137890347
